#
# 同じ発見物を参照するクエスト
#
# A	B
# BがAを参照します

未知なる危険	金色の捕食者
新大陸進出の脅威	締め付けるもの

未知の魅力	ジャワの楽器
香料諸島方面からの献上品	動かないチョウ
香料諸島方面進出の要衝	東国へ続く狭き道
ジャワ思想調査	解読不能の経典
香料諸島方面進出の指標	鄭和の航海誌

現地における思想についての調査	宣教師の行方
現地における生物の調査	毒に負けない生物
ある調査の追加調査	ある提督の手記
失踪した調査隊の追跡調査	商船の積荷を探せ

新大陸西岸方面の動物探索	妙なネズミ
黄金郷の信仰	皇帝の手足
新大陸西岸進出の先人の記録	先人の記録
新大陸西岸進出への道標	南米地形調査
黄金郷の財宝探索	冒険の軌跡
運河開通予定場所の調査	街周辺の地形調査

運河開通場所の地形調査	地峡の地形調査
運河開通場所に潜むもの	水辺の危険な生物
運河開通を見つめる像	ナイル川を見つめる像
運河開通事業の技術書	読めない手稿
運河開通への記録	盗まれた碑文

島国にある山の調査	山の秘密
調査における水場の確保	安平での地理調査
献上品の産地調査	貢糖の調査
災害の事前観測	噴火の記録

現地の信仰と山の関係調査	道教の名山
